CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot	CommunityID
IMAGE:726588	AA398138	55320	G2	FLJ11186 hypothetical protein FLJ11186 Hs.89278		G2 FLJ11186 hypothetical protein FLJ11186 Hs.89278 AA398138 	124
IMAGE:727147	AA292860	6317	G1/S	SERPINB3 serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3 Hs.227948		G1/S SERPINB3 serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3 Hs.227948 AA292860 	124
IMAGE:727526	AA411850	1062	G2/M	CENPE centromere protein E (312kD) Hs.75573	mitosis| nuclear division| cell cycle| mitosis| nuclear division| cell cycle| nuclear division| cell cycle| DNA replication and chromosome cycle| | | | | 	G2/M CENPE centromere protein E (312kD) Hs.75573 AA411850 mitosis| nuclear division| cell cycle| mitosis| nuclear division| cell cycle| nuclear division| cell cycle| DNA replication and chromosome cycle| | | | | 	124
IMAGE:730633	AA411969	NA	G1/S	LUC7A **cisplatin resistance-associated overexpressed protein Hs.3688		G1/S LUC7A **cisplatin resistance-associated overexpressed protein Hs.3688 AA411969 	38
IMAGE:731095	AA421409	83540	G2/M	NUF2R hypothetical protein NUF2R Hs.234545		G2/M NUF2R hypothetical protein NUF2R Hs.234545 AA421409 	124
IMAGE:743230	AA400234	NA	G1/S	 Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA Hs.240443		G1/S  Homo sapiens cDNA: FLJ23538 fis, clone LNG08010, highly similar to BETA2 Human MEN1 region clone epsilon/beta mRNA Hs.240443 AA400234 	70
IMAGE:743810	AA634371	83461	G2/M	MGC2577 hypothetical protein MGC2577 Hs.30114		G2/M MGC2577 hypothetical protein MGC2577 Hs.30114 AA634371 	124
IMAGE:743987	AA629027	64225	G2	FLJ23293 likely ortholog of mouse ADP-ribosylation-like factor 6 interacting protein 2 Hs.27099		G2 FLJ23293 likely ortholog of mouse ADP-ribosylation-like factor 6 interacting protein 2 Hs.27099 AA629027 	124
IMAGE:744047	AA629262	5347	G2/M	PLK polo (Drosophia)-like kinase Hs.77597	mitosis| nuclear division| cell cycle| obsolete| cell cycle control| cell proliferation| | | | | | | | 	G2/M PLK polo (Drosophia)-like kinase Hs.77597 AA629262 mitosis| nuclear division| cell cycle| obsolete| cell cycle control| cell proliferation| | | | | | | | 	124
IMAGE:745138	AL139327	7278	G2	TUBA2 tubulin, alpha 2 Hs.98102 AA626698  		G2 TUBA2 tubulin, alpha 2 Hs.98102 AA626698   AL139327 	124
IMAGE:746148	AA419612	NA	G2	STK17B **serine/threonine kinase 17b (apoptosis-inducing) Hs.120996		G2 STK17B **serine/threonine kinase 17b (apoptosis-inducing) Hs.120996 AA419612 	124
IMAGE:746217	AA417744	NA	G2	 ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807		G2  ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807 AA417744 	124
IMAGE:753028	AA436456	NA	G1/S	 ESTs Hs.339315		G1/S  ESTs Hs.339315 AA436456 	124
IMAGE:753198	AA406456	83879	G1/S	JPO1 c-Myc target JPO1 Hs.333893		G1/S JPO1 c-Myc target JPO1 Hs.333893 AA406456 	124
IMAGE:755165	AI821683	NA	S phase	 ESTs, Moderately similar to Y481_HUMAN HYPOTHETICAL PROTEIN KIAA0481 [H.sapiens] Hs.261494		S phase  ESTs, Moderately similar to Y481_HUMAN HYPOTHETICAL PROTEIN KIAA0481 [H.sapiens] Hs.261494 AI821683 	557
IMAGE:755240	AI734042	NA	S phase	 **ESTs, Weakly similar to KIAA0822 protein [H.sapiens] Hs.98368		S phase  **ESTs, Weakly similar to KIAA0822 protein [H.sapiens] Hs.98368 AI734042 	5
IMAGE:756596	NM_001394	1846	G2/M	DUSP4 dual specificity phosphatase 4 Hs.2359 AA444049  	signal transduction| cell cycle control| protein modification| metabolism| | | | | | | | | | 	G2/M DUSP4 dual specificity phosphatase 4 Hs.2359 AA444049   NM_001394 signal transduction| cell cycle control| protein modification| metabolism| | | | | | | | | | 	70
IMAGE:756769	AA425120	8208	G1/S	CHAF1B chromatin assembly factor 1, subunit B (p60) Hs.75238	protein metabolism and modification| DNA packaging| | | | | | | | | | | | 	G1/S CHAF1B chromatin assembly factor 1, subunit B (p60) Hs.75238 AA425120 protein metabolism and modification| DNA packaging| | | | | | | | | | | | 	124
IMAGE:758332	AA401234	79801	G2/M	FLJ22009 hypothetical protein FLJ22009 Hs.123253		G2/M FLJ22009 hypothetical protein FLJ22009 Hs.123253 AA401234 	124
IMAGE:759873	AA423944	10234	G2/M	P37NB 37 kDa leucine-rich repeat (LRR) protein Hs.155545	obsolete| | | | | | | | | | | | | 	G2/M P37NB 37 kDa leucine-rich repeat (LRR) protein Hs.155545 AA423944 obsolete| | | | | | | | | | | | | 	124
IMAGE:768260	AA424950	1869	G1/S	E2F1 E2F transcription factor 1 Hs.96055	cell death| cell cycle| cell proliferation| transcription| | | | | | | | | | 	G1/S E2F1 E2F transcription factor 1 Hs.96055 AA424950 cell death| cell cycle| cell proliferation| transcription| | | | | | | | | | 	124
IMAGE:769513	AA425973	4288	G2/M	MKI67 antigen identified by monoclonal antibody Ki-67 Hs.80976	cell cycle control| cell proliferation| | | | | | | | | | | | 	G2/M MKI67 antigen identified by monoclonal antibody Ki-67 Hs.80976 AA425973 cell cycle control| cell proliferation| | | | | | | | | | | | 	124
IMAGE:769921	AA430504	11065	G2	UBE2C ubiquitin-conjugating enzyme E2C Hs.93002	protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	G2 UBE2C ubiquitin-conjugating enzyme E2C Hs.93002 AA430504 protein modification| cell cycle control| cell proliferation| protein degradation| metabolism| | | | | | | | | 	124
IMAGE:773147	AA425578	54478	G2/M	FLJ10156 hypothetical protein Hs.86211		G2/M FLJ10156 hypothetical protein Hs.86211 AA425578 	124
IMAGE:773254	AA425853	6421	G2/M	SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G2/M SFPQ splicing factor proline/glutamine rich (polypyrimidine tract-binding protein-associated) Hs.180610 AA425853 RNA metabolism| RNA metabolism| | | | | | | | | | | | 	124
IMAGE:773345	AA425442	NA	G1/S	FLJ20530 **hypothetical protein FLJ20530 Hs.279521		G1/S FLJ20530 **hypothetical protein FLJ20530 Hs.279521 AA425442 	124
IMAGE:773479	BC008791	2280	G2	TUBB tubulin, beta polypeptide Hs.179661 AA427899  	protein folding| | | | | | | | | | | | | 	G2 TUBB tubulin, beta polypeptide Hs.179661 AA427899   BC008791 protein folding| | | | | | | | | | | | | 	124
IMAGE:781047	AA446462	699	G2/M	BUB1 budding uninhibited by benzimidazoles 1 (yeast homolog) Hs.98658	obsolete| cell proliferation| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| | | 	G2/M BUB1 budding uninhibited by benzimidazoles 1 (yeast homolog) Hs.98658 AA446462 obsolete| cell proliferation| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| | | 	124
IMAGE:781089	AA430241	9232	M/G1	PTTG1 pituitary tumor-transforming 1 Hs.252587	obsolete| developmental processes| transcription| | | | | | | | | | | 	M/G1 PTTG1 pituitary tumor-transforming 1 Hs.252587 AA430241 obsolete| developmental processes| transcription| | | | | | | | | | | 	124
IMAGE:785368	AA448898	55872	G2/M	TOPK PDZ-binding kinase; T-cell originated protein kinase Hs.104741		G2/M TOPK PDZ-binding kinase; T-cell originated protein kinase Hs.104741 AA448898 	124
IMAGE:785821	AA449061	23580	G2	CEP4 Cdc42 effector protein 4; binder of Rho GTPases 4 Hs.3903		G2 CEP4 Cdc42 effector protein 4; binder of Rho GTPases 4 Hs.3903 AA449061 	70
IMAGE:786067	AA448659	994	G2/M	CDC25B cell division cycle 25B Hs.153752	mitosis| nuclear division| cell cycle| cell cycle control| cell proliferation| | | | | | | | | 	G2/M CDC25B cell division cycle 25B Hs.153752 AA448659 mitosis| nuclear division| cell cycle| cell cycle control| cell proliferation| | | | | | | | | 	124
IMAGE:786504	AA452095	10051	G2	SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758	chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	G2 SMC4L1 SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 Hs.50758 AA452095 chromosome segregation| mitosis| nuclear division| cell cycle| chromosome condensation| mitosis| cell cycle| DNA replication and chromosome cycle| cell growth and/or maintenance| | | | | 	124
IMAGE:788256	AA454098	9493	G2	KNSL5 kinesin-like 5 (mitotic kinesin-like protein 1) Hs.270845	DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| cell growth and/or maintenance| | | | | | | | 	G2 KNSL5 kinesin-like 5 (mitotic kinesin-like protein 1) Hs.270845 AA454098 DNA replication and chromosome cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell cycle| cell growth and/or maintenance| | | | | | | | 	124
IMAGE:789091	NM_003512	8334	*S phase	H2AFL H2A histone family, member L Hs.28777 AA452933  		*S phase H2AFL H2A histone family, member L Hs.28777 AA452933   NM_003512 	70
IMAGE:789182	AA450264	5111	G1/S	PCNA proliferating cell nuclear antigen Hs.78996	DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	G1/S PCNA proliferating cell nuclear antigen Hs.78996 AA450264 DNA repair| DNA replication| cell cycle| DNA replication| cell proliferation| cell cycle control| | | | | | | | 	124
IMAGE:789376	AA453335	7296	G2/M	TXNRD1 thioredoxin reductase 1 Hs.13046	signal transduction| | | | | | | | | | | | | 	G2/M TXNRD1 thioredoxin reductase 1 Hs.13046 AA453335 signal transduction| | | | | | | | | | | | | 	124
IMAGE:79525	T82439	5412	S phase	UBL3 ubiquitin-like 3 Hs.173091		S phase UBL3 ubiquitin-like 3 Hs.173091 T82439 	70
IMAGE:795746	AA460299	79682	S phase	FLJ23468 hypothetical protein FLJ23468 Hs.38178		S phase FLJ23468 hypothetical protein FLJ23468 Hs.38178 AA460299 	70
IMAGE:795877	AA460152	10769	M/G1	SNK serum-inducible kinase Hs.3838		M/G1 SNK serum-inducible kinase Hs.3838 AA460152 	70
IMAGE:795936	AA460927	7247	G2/M	TSN translin Hs.75066	DNA recombination| | | | | | | | | | | | | 	G2/M TSN translin Hs.75066 AA460927 DNA recombination| | | | | | | | | | | | | 	124
IMAGE:796694	AA460685	332	G2/M	BIRC5 baculoviral IAP repeat-containing 5 (survivin) Hs.1578	obsolete| cell death| cell cycle| | | | | | | | | | | 	G2/M BIRC5 baculoviral IAP repeat-containing 5 (survivin) Hs.1578 AA460685 obsolete| cell death| cell cycle| | | | | | | | | | | 	124
IMAGE:809703	AK027519	57153	G2/M	CTL2 CTL2 gene Hs.105509 AA454710  		G2/M CTL2 CTL2 gene Hs.105509 AA454710   AK027519 	70
IMAGE:810209	AA464521	89987	G2	PIF1 DNA helicase homolog PIF1 Hs.112160		G2 PIF1 DNA helicase homolog PIF1 Hs.112160 AA464521 	124
IMAGE:810217	AA464698	79162	G1/S	LENG8 leukocyte receptor cluster (LRC) member 8 Hs.306121		G1/S LENG8 leukocyte receptor cluster (LRC) member 8 Hs.306121 AA464698 	124
IMAGE:810600	AA464019	27338	M/G1	E2-EPF ubiquitin carrier protein Hs.174070	protein modification| | | | | | | | | | | | | 	M/G1 E2-EPF ubiquitin carrier protein Hs.174070 AA464019 protein modification| | | | | | | | | | | | | 	124
IMAGE:810818	AI734166	NA	S phase	 ESTs Hs.99480		S phase  ESTs Hs.99480 AI734166 	70
IMAGE:810899	AA459522	1163	G2/M	CKS1 CDC2-Associted protein CKS1 Hs.77550	cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	G2/M CKS1 CDC28 protein kinase 1 Hs.77550 AA459522 cell cycle control| cell proliferation| cell cycle control| cell cycle| | | | | | | | | | 	124
IMAGE:810981	AA459420	55020	G2	FLJ20699 hypothetical protein FLJ20699 Hs.15125		G2 FLJ20699 hypothetical protein FLJ20699 Hs.15125 AA459420 	124
IMAGE:811028	NM_001909	1509	G1/S	CTSD cathepsin D (lysosomal aspartyl protease) Hs.79572 AA485373  		G1/S CTSD cathepsin D (lysosomal aspartyl protease) Hs.79572 AA485373   NM_001909 	70
IMAGE:811067	AA485621	23152	M/G1	KIAA0306 KIAA0306 protein Hs.306117		M/G1 KIAA0306 KIAA0306 protein Hs.306117 AA485621 	70
IMAGE:811069	AI734203	NA	S phase	 ESTs Hs.99480		S phase  ESTs Hs.99480 AI734203 	70
IMAGE:811918	AA454989	22903	M/G1	KIAA0952 KIAA0952 protein Hs.7935		M/G1 KIAA0952 KIAA0952 protein Hs.7935 AA454989 	70
IMAGE:813149	AA456695	8349	M/G1	H2BFQ H2B histone family, member Q Hs.2178		M/G1 H2BFQ H2B histone family, member Q Hs.2178 AA456695 	70
IMAGE:814234	AA465233	8801	G2	SUCLG2 succinate-CoA ligase, GDP-forming, beta subunit Hs.247309		G2 SUCLG2 succinate-CoA ligase, GDP-forming, beta subunit Hs.247309 AA465233 	124
IMAGE:814701	AA481076	4085	G2	MAD2L1 MAD2 (mitotic arrest deficient, yeast, homolog)-like 1 Hs.79078	mitosis| nuclear division| cell cycle| mitotic checkpoint| nuclear division| mitotic checkpoint| cell cycle| | | | | | | 	G2 MAD2L1 MAD2 (mitotic arrest deficient, yeast, homolog)-like 1 Hs.79078 AA481076 mitosis| nuclear division| cell cycle| mitotic checkpoint| nuclear division| mitotic checkpoint| cell cycle| | | | | | | 	124
IMAGE:814769	AA455328	79682	S phase	FLJ23468 hypothetical protein FLJ23468 Hs.38178		S phase FLJ23468 hypothetical protein FLJ23468 Hs.38178 AA455328 	70
IMAGE:814995	AA465090	NA	G2/M	 ESTs Hs.44269		G2/M  ESTs Hs.44269 AA465090 	124
IMAGE:815287	AA481621	10902	G2	SMAP thyroid hormone receptor coactivating protein Hs.5464	signal transduction| transcription| signal transduction| | | | | | | | | | | 	G2 SMAP thyroid hormone receptor coactivating protein Hs.5464 AA481621 signal transduction| transcription| signal transduction| | | | | | | | | | | 	124
IMAGE:815550	AA456818	23015	S phase	KIAA0855 golgin-67 Hs.182982		S phase KIAA0855 golgin-67 Hs.182982 AA456818 	124
IMAGE:824753	AA489007	79866	G2	FLJ22624 hypothetical protein FLJ22624 Hs.179566		G2 FLJ22624 hypothetical protein FLJ22624 Hs.179566 AA489007 	124
IMAGE:824913	AA489023	NA	G2	 ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807		G2  ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807 AA489023 	124
IMAGE:824962	AA489087	3838	G2	KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557	DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	G2 KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557 AA489087 DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	124
IMAGE:825228	AA504389	26586	G2/M	CKAP2 cytoskeleton associated protein 2 Hs.24641		G2/M CKAP2 cytoskeleton associated protein 2 Hs.24641 AA504389 	124
IMAGE:825470	AA504348	7153	G2	TOP2A topoisomerase (DNA) II alpha (170kD) Hs.156346		G2 TOP2A topoisomerase (DNA) II alpha (170kD) Hs.156346 AA504348 	124
IMAGE:825606	AA504719	3832	G2	KNSL1 kinesin-like 1 Hs.8878	mitosis| nuclear division| cell cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell growth and/or maintenance| | | | | | | 	G2 KNSL1 kinesin-like 1 Hs.8878 AA504719 mitosis| nuclear division| cell cycle| mitotic spindle assembly| nuclear division| spindle assembly| cell growth and/or maintenance| | | | | | | 	124
IMAGE:840614	AI734177	NA	G1/S	 Homo sapiens cDNA FLJ13571 fis, clone PLACE1008405 Hs.116278		G1/S  Homo sapiens cDNA FLJ13571 fis, clone PLACE1008405 Hs.116278 AI734177 	124
IMAGE:841203	AA486728	7414	M/G1	VCL vinculin Hs.75350	cell shape and cell size control| | | | | | | | | | | | | 	M/G1 VCL vinculin Hs.75350 AA486728 cell shape and cell size control| | | | | | | | | | | | | 	70
IMAGE:842968	AA488324	701	G2/M	BUB1B budding uninhibited by benzimidazoles 1 (yeast homolog), beta Hs.36708	mitosis| nuclear division| cell cycle| cell proliferation| mitotic checkpoint| nuclear division| mitotic checkpoint| cell cycle| | | | | | 	G2/M BUB1B budding uninhibited by benzimidazoles 1 (yeast homolog), beta Hs.36708 AA488324 mitosis| nuclear division| cell cycle| cell proliferation| mitotic checkpoint| nuclear division| mitotic checkpoint| cell cycle| | | | | | 	124
IMAGE:843049	AA485983	4173	G2/M	MCM4 minichromosome maintenance deficient (S. cerevisiae) 4 Hs.154443	DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	G2/M MCM4 minichromosome maintenance deficient (S. cerevisiae) 4 Hs.154443 AA485983 DNA replication| cell cycle| DNA replication| | | | | | | | | | | 	124
IMAGE:853066	AA668256	9918	G2/M	CNAP1 chromosome condensation-related SMC-associated protein 1 Hs.5719		G2/M CNAP1 chromosome condensation-related SMC-associated protein 1 Hs.5719 AA668256 	124
IMAGE:853938	AA644679	8655	M/G1	PIN dynein, cytoplasmic, light polypeptide Hs.5120	developmental processes| cell shape and cell size control| metabolism| developmental processes| obsolete| cell-cell signaling| | | | | | | | 	M/G1 PIN dynein, cytoplasmic, light polypeptide Hs.5120 AA644679 developmental processes| cell shape and cell size control| metabolism| developmental processes| obsolete| cell-cell signaling| | | | | | | | 	124
IMAGE:854668	AA630082	1027	G2	CDKN1B cyclin-dependent kinase inhibitor 1B (p27, Kip1) Hs.238990	developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle control| cell proliferation| | | | | | | 	G2 CDKN1B cyclin-dependent kinase inhibitor 1B (p27, Kip1) Hs.238990 AA630082 developmental processes| cell cycle control| cell communication| cell growth and/or maintenance| cell cycle control| cell cycle control| cell proliferation| | | | | | | 	124
IMAGE:855390	AA663995	4175	G1/S	MCM6 minichromosome maintenance deficient (mis5, S. pombe) 6 Hs.155462		G1/S MCM6 minichromosome maintenance deficient (mis5, S. pombe) 6 Hs.155462 AA663995 	70
IMAGE:856289	AA774665	9133	G2/M	CCNB2 cyclin B2 Hs.194698		G2/M CCNB2 cyclin B2 Hs.194698 AA774665 	124
IMAGE:856427	NM_004237	9319	G2/M	TRIP13 thyroid hormone receptor interactor 13 Hs.6566 AA630784  	transcription| | | | | | | | | | | | | 	G2/M TRIP13 thyroid hormone receptor interactor 13 Hs.6566 AA630784   NM_004237 transcription| | | | | | | | | | | | | 	70
IMAGE:85840	T72235	4837	G2	NNMT nicotinamide N-methyltransferase Hs.76669		G2 NNMT nicotinamide N-methyltransferase Hs.76669 T72235 	124
IMAGE:858510	AA774082	55712	S phase	FLJ10466 hypothetical protein FLJ10466 Hs.121073		S phase FLJ10466 hypothetical protein FLJ10466 Hs.121073 AA774082 	124
IMAGE:860000	AA663472	5982	S phase	RFC2 replication factor C (activator 1) 2 (40kD) Hs.139226		S phase RFC2 replication factor C (activator 1) 2 (40kD) Hs.139226 AA663472 	124
IMAGE:866633	NM_014962	22903	M/G1	KIAA0952 KIAA0952 protein Hs.7935 AA679150  		M/G1 KIAA0952 KIAA0952 protein Hs.7935 AA679150   NM_014962 	70
IMAGE:868517	AA775033	NA	G2/M	AA775033  		G2/M AA775033   AA775033 	124
IMAGE:878184	NM_006339	10362	M/G1	HMG20B high-mobility group 20B Hs.32317 AA775743  	DNA packaging| | | | | | | | | | | | | 	M/G1 HMG20B high-mobility group 20B Hs.32317 AA775743   NM_006339 DNA packaging| | | | | | | | | | | | | 	70
IMAGE:878640	AA670197	3149	G2/M	HMG4 high-mobility group (nonhistone chromosomal) protein 4 Hs.19114	developmental processes| | | | | | | | | | | | | 	G2/M HMG4 high-mobility group (nonhistone chromosomal) protein 4 Hs.19114 AA670197 developmental processes| | | | | | | | | | | | | 	124
IMAGE:882355	AA676296	54908	G2/M	FLJ20364 hypothetical protein FLJ20364 Hs.32471		G2/M FLJ20364 hypothetical protein FLJ20364 Hs.32471 AA676296 	124
IMAGE:882510	AA676460	3838	G2	KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557	DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	G2 KPNA2 karyopherin alpha 2 (RAG cohort 1, importin alpha 1) Hs.159557 AA676460 DNA metabolism| cell cycle| DNA recombination| transport| metabolism| DNA replication and chromosome cycle| | | | | | | | 	124
IMAGE:884364	AA629538	NA	G2/M	 ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens] Hs.165909		G2/M  ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens] Hs.165909 AA629538 	124
IMAGE:884653	BF690013	NA	G2	ESTs, Moderately similar to TBB2_HUMAN TUBULIN BETA-2 CHAIN [H.sapiens] Hs.23189 AA629908  		G2 ESTs, Moderately similar to TBB2_HUMAN TUBULIN BETA-2 CHAIN [H.sapiens] Hs.23189 AA629908   BF690013 	124
IMAGE:884718	AA629558	7884	G1/S	SLBP stem-loop (histone) binding protein Hs.75257	RNA metabolism| RNA metabolism| | | | | | | | | | | | 	G1/S SLBP stem-loop (histone) binding protein Hs.75257 AA629558 RNA metabolism| RNA metabolism| | | | | | | | | | | | 	124
IMAGE:884719	AA629567	3312	G2/M	HSPA8 heat shock 70kD protein 8 Hs.180414		G2/M HSPA8 heat shock 70kD protein 8 Hs.180414 AA629567 	124
IMAGE:896949	AA779417	3156	M/G1	HMGCR 3-hydroxy-3-methylglutaryl-Coenzyme A reductase Hs.11899	developmental processes| developmental processes| lipid metabolism| lipid metabolism| metabolism| | | | | | | | | 	M/G1 HMGCR 3-hydroxy-3-methylglutaryl-Coenzyme A reductase Hs.11899 AA779417 developmental processes| developmental processes| lipid metabolism| lipid metabolism| metabolism| | | | | | | | | 	124
IMAGE:898062	AA598776	991	G2/M	CDC20 CDC20 (cell division cycle 20, S. cerevisiae, homolog) Hs.82906	cell cycle| cell cycle control| protein degradation| metabolism| | | | | | | | | | 	G2/M CDC20 CDC20 (cell division cycle 20, S. cerevisiae, homolog) Hs.82906 AA598776 cell cycle| cell cycle control| protein degradation| metabolism| | | | | | | | | | 	124
IMAGE:898286	AA598974	NA	G2	 Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383		G2  Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383 AA598974 	124
IMAGE:916498	AA573689	NA	S phase	 ESTs Hs.163921		S phase  ESTs Hs.163921 AA573689 	70
IMAGE:925762	AI732373	NA	G1/S	 ESTs Hs.105826		G1/S  ESTs Hs.105826 AI732373 	70
IMAGE:950450	AA599094	22836	S phase	KIAA0878 KIAA0878 protein Hs.10432		S phase KIAA0878 KIAA0878 protein Hs.10432 AA599094 	70
IMAGE:950690	AA608568	890	G2	CCNA2 cyclin A2 Hs.85137	obsolete| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| cell cycle| | | | | | | 	G2 CCNA2 cyclin A2 Hs.85137 AA608568 obsolete| mitotic checkpoint| nuclear division| mitotic checkpoint| mitotic checkpoint| cell cycle| cell cycle| | | | | | | 	124
IMAGE:951142	AA620553	2237	S phase	FEN1 flap structure-specific endonuclease 1 Hs.4756	DNA repair| cell communication| DNA replication| cell cycle| DNA replication| DNA repair| | | | | | | | 	S phase FEN1 flap structure-specific endonuclease 1 Hs.4756 AA620553 DNA repair| cell communication| DNA replication| cell cycle| DNA replication| DNA repair| | | | | | | | 	124
IMAGE:951241	AA620485	51203	G2	ANKT nucleolar protein ANKT Hs.279905		G2 ANKT nucleolar protein ANKT Hs.279905 AA620485 	124
IMAGE:951287	AA620511	3312	M/G1	HSPA8 heat shock 70kD protein 8 Hs.180414		M/G1 HSPA8 heat shock 70kD protein 8 Hs.180414 AA620511 	124
IMAGE:970613	AA683102	5885	M/G1	RAD21 RAD21 (S. pombe) homolog Hs.81848	DNA recombination| nuclear division| DNA recombination| DNA repair| | | | | | | | | | 	M/G1 RAD21 RAD21 (S. pombe) homolog Hs.81848 AA683102 DNA recombination| nuclear division| DNA recombination| DNA repair| | | | | | | | | | 	124
