CLONEID	ACC	LLID	PHASE	NAME	Annotation	Name_Annot
IMAGE:511091	AA088258		S phase	" **ESTs, Weakly similar to protein that is immuno-reactive with anti-PTH polyclonal antibodies [H.sapiens] Hs.301486"		"S phase  **ESTs, Weakly similar to protein that is immuno-reactive with anti-PTH polyclonal antibodies [H.sapiens] Hs.301486 AA088258 "
IMAGE:362483	AA018591		G2/M	" **Homo sapiens cDNA FLJ13700 fis, clone PLACE2000216, highly similar to SPECTRIN BETA CHAIN, BRAIN Hs.324648"		"G2/M  **Homo sapiens cDNA FLJ13700 fis, clone PLACE2000216, highly similar to SPECTRIN BETA CHAIN, BRAIN Hs.324648 AA018591 "
IMAGE:712505	AA278152		G2	" **Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383"		"G2  **Homo sapiens cDNA FLJ14365 fis, clone HEMBA1001019 Hs.348383 AA278152 "
IMAGE:784178	AA446650		G2/M	 **Homo sapiens mRNA; cDNA DKFZp586M0723 (from clone DKFZp586M0723) Hs.27860		G2/M  **Homo sapiens mRNA; cDNA DKFZp586M0723 (from clone DKFZp586M0723) Hs.27860 AA446650 
IMAGE:181831	H39962		G2/M	" **Homo sapiens SNC73 protein (SNC73) mRNA, complete cds Hs.293441"		"G2/M  **Homo sapiens SNC73 protein (SNC73) mRNA, complete cds Hs.293441 H39962 "
IMAGE:66430	R16074		G2	" **Homo sapiens, Similar to ribosomal protein L23a, clone MGC:2597 IMAGE:3346366, mRNA, complete cds Hs.247828"		"G2  **Homo sapiens, Similar to ribosomal protein L23a, clone MGC:2597 IMAGE:3346366, mRNA, complete cds Hs.247828 R16074 "
IMAGE:627688	AA197344		G1/S	 EST Hs.104123		G1/S  EST Hs.104123 AA197344 
IMAGE:839579	AA489813		G2/M	 EST Hs.105298		G2/M  EST Hs.105298 AA489813 
IMAGE:877776	AA626786		G2/M	 EST Hs.116174		G2/M  EST Hs.116174 AA626786 
IMAGE:1677546	AI078552		M/G1	 EST Hs.135448		M/G1  EST Hs.135448 AI078552 
IMAGE:1849013	AI247680		S phase	 EST Hs.149260		S phase  EST Hs.149260 AI247680 
IMAGE:1850351	AI249089		G2	 EST Hs.149338		G2  EST Hs.149338 AI249089 
IMAGE:1709892	AI138644		M/G1	 EST Hs.154621		M/G1  EST Hs.154621 AI138644 
IMAGE:740851	AA477708		G2	 EST Hs.336706		G2  EST Hs.336706 AA477708 
IMAGE:73953	T55197		G1/S	" EST, Moderately similar to ALU8_HUMAN ALU SUBFAMILY SX SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.251574"		"G1/S  EST, Moderately similar to ALU8_HUMAN ALU SUBFAMILY SX SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.251574 T55197 "
IMAGE:1554469	AA931528		G2	" EST, Weakly similar to dJ45P21.2 [H.sapiens] Hs.326451"		"G2  EST, Weakly similar to dJ45P21.2 [H.sapiens] Hs.326451 AA931528 "
IMAGE:665082	AA194941		G1/S	 ESTs Hs.101014		G1/S  ESTs Hs.101014 AA194941 
IMAGE:198104	R94633		G2	 ESTs Hs.102004		G2  ESTs Hs.102004 R94633 
IMAGE:925762	AI732373		G1/S	 ESTs Hs.105826		G1/S  ESTs Hs.105826 AI732373 
IMAGE:41198	R56870		M/G1	 ESTs Hs.106129		M/G1  ESTs Hs.106129 R56870 
IMAGE:431242	AA682533		G2/M	 ESTs Hs.111471		G2/M  ESTs Hs.111471 AA682533 
IMAGE:1639260	AI014667		S phase	 ESTs Hs.112570		S phase  ESTs Hs.112570 AI014667 
IMAGE:435490	AA701352		M/G1	 ESTs Hs.114055		M/G1  ESTs Hs.114055 AA701352 
IMAGE:132835	R27432		M/G1	 ESTs Hs.114055		M/G1  ESTs Hs.114055 R27432 
IMAGE:1878979	AI278336		M/G1	 ESTs Hs.115315		M/G1  ESTs Hs.115315 AI278336 
IMAGE:431215	AA682521		G2/M	 ESTs Hs.117261		G2/M  ESTs Hs.117261 AA682521 
IMAGE:461494	AA705050		G1/S	 ESTs Hs.117269		G1/S  ESTs Hs.117269 AA705050 
IMAGE:1837950	AI220472		G1/S	 ESTs Hs.120605		G1/S  ESTs Hs.120605 AI220472 
IMAGE:1422842	AA827482		M/G1	 ESTs Hs.120734		M/G1  ESTs Hs.120734 AA827482 
IMAGE:135240	R31512		M/G1	 ESTs Hs.122444		M/G1  ESTs Hs.122444 R31512 
IMAGE:1584883	AA939019		G2	 ESTs Hs.122444		G2  ESTs Hs.122444 AA939019 
IMAGE:41132	R59026		G1/S	 ESTs Hs.124169		G1/S  ESTs Hs.124169 R59026 
IMAGE:1536451	AA919126		G2	 ESTs Hs.126714		G2  ESTs Hs.126714 AA919126 
IMAGE:1456138	AA862450		M/G1	 ESTs Hs.127054		M/G1  ESTs Hs.127054 AA862450 
IMAGE:1374830	AA947258		S phase	 ESTs Hs.127703		S phase  ESTs Hs.127703 AA947258 
IMAGE:1601854	AI733433		S phase	 ESTs Hs.129165		S phase  ESTs Hs.129165 AI733433 
IMAGE:811944	AA458547		M/G1	 ESTs Hs.130214		M/G1  ESTs Hs.130214 AA458547 
IMAGE:595606	AI821519		G2	 ESTs Hs.130435		G2  ESTs Hs.130435 AI821519 
IMAGE:1541324	AA927252		S phase	 ESTs Hs.130460		S phase  ESTs Hs.130460 AA927252 
IMAGE:1557085	AA923168		G1/S	 ESTs Hs.132493		G1/S  ESTs Hs.132493 AA923168 
IMAGE:1862628	AI053446		G2	 ESTs Hs.133294		G2  ESTs Hs.133294 AI053446 
IMAGE:1861173	AI144063		G2	 ESTs Hs.133294		G2  ESTs Hs.133294 AI144063 
IMAGE:1690915	AI092102		G2	 ESTs Hs.135276		G2  ESTs Hs.135276 AI092102 
IMAGE:108265	T70541		G2	 ESTs Hs.13740		G2  ESTs Hs.13740 T70541 
IMAGE:1842250	AI219737		G2	 ESTs Hs.144796		G2  ESTs Hs.144796 AI219737 
IMAGE:2029071	AI253072		G1/S	 ESTs Hs.145383		G1/S  ESTs Hs.145383 AI253072 
IMAGE:1925517	AI820876		M/G1	 ESTs Hs.146276		M/G1  ESTs Hs.146276 AI820876 
IMAGE:206172	H61652		S phase	 ESTs Hs.14743		S phase  ESTs Hs.14743 H61652 
IMAGE:1911913	AI278813		S phase	 ESTs Hs.150325		S phase  ESTs Hs.150325 AI278813 
IMAGE:434302	AA693532		M/G1	 ESTs Hs.150623		M/G1  ESTs Hs.150623 AA693532 
IMAGE:430973	AA678348		G2	 ESTs Hs.15091		G2  ESTs Hs.15091 AA678348 
IMAGE:1456849	AI733001		G2	 ESTs Hs.158357		G2  ESTs Hs.158357 AI733001 
IMAGE:916498	AA573689		S phase	 ESTs Hs.163921		S phase  ESTs Hs.163921 AA573689 
IMAGE:1618978	AA992090		S phase	 ESTs Hs.165607		S phase  ESTs Hs.165607 AA992090 
IMAGE:1652927	AI080987		G1/S	 ESTs Hs.166539		G1/S  ESTs Hs.166539 AI080987 
IMAGE:149245	R82522		G1/S	 ESTs Hs.176950		G1/S  ESTs Hs.176950 R82522 
IMAGE:1032734	AA664350		G1/S	 ESTs Hs.179309		G1/S  ESTs Hs.179309 AA664350 
IMAGE:782812	AA448251		G2	 ESTs Hs.181315		G2  ESTs Hs.181315 AA448251 
IMAGE:121543	T97707		M/G1	 ESTs Hs.18140		M/G1  ESTs Hs.18140 T97707 
IMAGE:701496	AA287975		G2	 ESTs Hs.183299		G2  ESTs Hs.183299 AA287975 
IMAGE:700503	AA291137		G2	 ESTs Hs.183299		G2  ESTs Hs.183299 AA291137 
IMAGE:121994	T98244		G2/M	 ESTs Hs.18331		G2/M  ESTs Hs.18331 T98244 
IMAGE:143654	R76060		G1/S	 ESTs Hs.188554		G1/S  ESTs Hs.188554 R76060 
IMAGE:292568	N68486		S phase	 ESTs Hs.193379		S phase  ESTs Hs.193379 N68486 
IMAGE:359733	AA011308		G1/S	 ESTs Hs.193804		G1/S  ESTs Hs.193804 AA011308 
IMAGE:244343	N52822		S phase	 ESTs Hs.194125		S phase  ESTs Hs.194125 N52822 
IMAGE:126541	R06761		G1/S	 ESTs Hs.194595		G1/S  ESTs Hs.194595 R06761 
IMAGE:156283	R73481		G1/S	 ESTs Hs.205227		G1/S  ESTs Hs.205227 R73481 
IMAGE:264502	N20305		G2/M	 ESTs Hs.20575		G2/M  ESTs Hs.20575 N20305 
IMAGE:291827	N72976		M/G1	 ESTs Hs.21734		M/G1  ESTs Hs.21734 N72976 
IMAGE:245986	N55457		G2	 ESTs Hs.221197		G2  ESTs Hs.221197 N55457 
IMAGE:196522	R91604		S phase	 ESTs Hs.221847		S phase  ESTs Hs.221847 R91604 
IMAGE:76610	T51046		M/G1	 ESTs Hs.222566		M/G1  ESTs Hs.222566 T51046 
IMAGE:52949	H29336		G2/M	 ESTs Hs.23213		G2/M  ESTs Hs.23213 H29336 
IMAGE:795851	AA461529		G2/M	 ESTs Hs.23830		G2/M  ESTs Hs.23830 AA461529 
IMAGE:257387	N41320		G2/M	 ESTs Hs.238797		G2/M  ESTs Hs.238797 N41320 
IMAGE:299609	N70848		G2	 ESTs Hs.238797		G2  ESTs Hs.238797 N70848 
IMAGE:121072	T96523		S phase	 ESTs Hs.242998		S phase  ESTs Hs.242998 T96523 
IMAGE:234617	H77727		S phase	 ESTs Hs.24908		S phase  ESTs Hs.24908 H77727 
IMAGE:754628	AA436252		G1/S	 ESTs Hs.25933		G1/S  ESTs Hs.25933 AA436252 
IMAGE:50130	H16988		G2/M	 ESTs Hs.26744		G2/M  ESTs Hs.26744 H16988 
IMAGE:131307	R22952		S phase	 ESTs Hs.268685		S phase  ESTs Hs.268685 R22952 
IMAGE:202704	H53878		G1/S	 ESTs Hs.268919		G1/S  ESTs Hs.268919 H53878 
IMAGE:214262	H77818		S phase	 ESTs Hs.268991		S phase  ESTs Hs.268991 H77818 
IMAGE:50060	H17455		G2/M	 ESTs Hs.27379		G2/M  ESTs Hs.27379 H17455 
IMAGE:810235	AA464707		M/G1	 ESTs Hs.283705		M/G1  ESTs Hs.283705 AA464707 
IMAGE:139689	R63922		M/G1	 ESTs Hs.28462		M/G1  ESTs Hs.28462 R63922 
IMAGE:878517	AA775845		G1/S	 ESTs Hs.293419		G1/S  ESTs Hs.293419 AA775845 
IMAGE:289496	N63988		M/G1	 ESTs Hs.293797		M/G1  ESTs Hs.293797 N63988 
IMAGE:50227	H16772		G2	 ESTs Hs.31444		G2  ESTs Hs.31444 H16772 
IMAGE:626842	AA191424		G1/S	 ESTs Hs.317584		G1/S  ESTs Hs.317584 AA191424 
IMAGE:197775	R93772		M/G1	 ESTs Hs.32204		M/G1  ESTs Hs.32204 R93772 
IMAGE:244350	N54811		S phase	 ESTs Hs.332086		S phase  ESTs Hs.332086 N54811 
IMAGE:245517	N72518		G2/M	 ESTs Hs.33446		G2/M  ESTs Hs.33446 N72518 
IMAGE:1854679	AI283530		M/G1	 ESTs Hs.335043		M/G1  ESTs Hs.335043 AI283530 
IMAGE:1011581	AA229808		G2	 ESTs Hs.336812		G2  ESTs Hs.336812 AA229808 
IMAGE:753028	AA436456		G1/S	 ESTs Hs.339315		G1/S  ESTs Hs.339315 AA436456 
IMAGE:1894782	AI292036		G2	 ESTs Hs.345019		G2  ESTs Hs.345019 AI292036 
IMAGE:303099	N90779		G2	 ESTs Hs.36830		G2  ESTs Hs.36830 N90779 
IMAGE:714043	AA284907		G2	 ESTs Hs.43148		G2  ESTs Hs.43148 AA284907 
IMAGE:814995	AA465090		G2/M	 ESTs Hs.44269		G2/M  ESTs Hs.44269 AA465090 
IMAGE:304927	N93122		G2	 ESTs Hs.44380		G2  ESTs Hs.44380 N93122 
IMAGE:289847	N62074		G1/S	 ESTs Hs.48474		G1/S  ESTs Hs.48474 N62074 
IMAGE:565734	AA135809		G1/S	 ESTs Hs.48480		G1/S  ESTs Hs.48480 AA135809 
IMAGE:292391	N62567		G2/M	 ESTs Hs.48569		G2/M  ESTs Hs.48569 N62567 
IMAGE:204356	H59922		M/G1	 ESTs Hs.4983		M/G1  ESTs Hs.4983 H59922 
IMAGE:52031	H22936		G2/M	 ESTs Hs.4983		G2/M  ESTs Hs.4983 H22936 
IMAGE:193777	H48143		S phase	 ESTs Hs.50180		S phase  ESTs Hs.50180 H48143 
IMAGE:795322	AA454165		G2/M	 ESTs Hs.53455		G2/M  ESTs Hs.53455 AA454165 
IMAGE:327064	W02785		G2/M	 ESTs Hs.55272		G2/M  ESTs Hs.55272 W02785 
IMAGE:1585057	AA972654		S phase	 ESTs Hs.5909		S phase  ESTs Hs.5909 AA972654 
IMAGE:415023	W93100		G1/S	 ESTs Hs.59413		G1/S  ESTs Hs.59413 W93100 
IMAGE:364255	AA021549		G1/S	 ESTs Hs.61126		G1/S  ESTs Hs.61126 AA021549 
IMAGE:429921	AA034055		G2/M	 ESTs Hs.61708		G2/M  ESTs Hs.61708 AA034055 
IMAGE:796303	AA461307		G2	 ESTs Hs.69662		G2  ESTs Hs.69662 AA461307 
IMAGE:1649583	AI028074		S phase	 ESTs Hs.71818		S phase  ESTs Hs.71818 AI028074 
IMAGE:347740	W81524		S phase	 ESTs Hs.81263		S phase  ESTs Hs.81263 W81524 
IMAGE:243151	H94467		G2/M	 ESTs Hs.8366		G2/M  ESTs Hs.8366 H94467 
IMAGE:684277	AA236015		S phase	 ESTs Hs.87507		S phase  ESTs Hs.87507 AA236015 
IMAGE:757161	AA443948		G2/M	 ESTs Hs.99037		G2/M  ESTs Hs.99037 AA443948 
IMAGE:810818	AI734166		S phase	 ESTs Hs.99480		S phase  ESTs Hs.99480 AI734166 
IMAGE:811069	AI734203		S phase	 ESTs Hs.99480		S phase  ESTs Hs.99480 AI734203 
IMAGE:796645	AA461474		S phase	 ESTs Hs.99542		S phase  ESTs Hs.99542 AA461474 
IMAGE:726311	AI821587		G1/S	" ESTs, Highly similar to A56429 I-kappa-B-related protein [H.sapiens] Hs.144614"		"G1/S  ESTs, Highly similar to A56429 I-kappa-B-related protein [H.sapiens] Hs.144614 AI821587 "
IMAGE:2030843	AI373071		G2/M	" ESTs, Highly similar to GLI1_HUMAN ZINC FINGER PROTEIN GLI1 [H.sapiens] Hs.331554"		"G2/M  ESTs, Highly similar to GLI1_HUMAN ZINC FINGER PROTEIN GLI1 [H.sapiens] Hs.331554 AI373071 "
IMAGE:452363	AA700879		G2	" ESTs, Highly similar to MKLP_HUMAN MITOTIC KINESIN-LIKE PROTEIN [H.sapiens] Hs.186814"		"G2  ESTs, Highly similar to MKLP_HUMAN MITOTIC KINESIN-LIKE PROTEIN [H.sapiens] Hs.186814 AA700879 "
IMAGE:1741749	AI733699		G2	" ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.144662"		"G2  ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.144662 AI733699 "
IMAGE:454469	AA677337		G1/S	" ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.173495"		"G1/S  ESTs, Moderately similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.173495 AA677337 "
IMAGE:1493227	AI733079		G2	" ESTs, Moderately similar to ALUE_HUMAN !!!! ALU CLASS E WARNING ENTRY !!! [H.sapiens] Hs.125407"		"G2  ESTs, Moderately similar to ALUE_HUMAN !!!! ALU CLASS E WARNING ENTRY !!! [H.sapiens] Hs.125407 AI733079 "
IMAGE:47630	H11376		G1/S	" ESTs, Moderately similar to Inactivation Gate Of Potassium Channel Raw3, Nmr, 8 Structures {SUB 1-30 [H.sapiens] Hs.106486"		"G1/S  ESTs, Moderately similar to Inactivation Gate Of Potassium Channel Raw3, Nmr, 8 Structures {SUB 1-30 [H.sapiens] Hs.106486 H11376 "
IMAGE:230116	H78796		S phase	" ESTs, Moderately similar to NRD2 convertase [H.sapiens] Hs.309734"		"S phase  ESTs, Moderately similar to NRD2 convertase [H.sapiens] Hs.309734 H78796 "
IMAGE:755165	AI821683		S phase	" ESTs, Moderately similar to Y481_HUMAN HYPOTHETICAL PROTEIN KIAA0481 [H.sapiens] Hs.261494"		"S phase  ESTs, Moderately similar to Y481_HUMAN HYPOTHETICAL PROTEIN KIAA0481 [H.sapiens] Hs.261494 AI821683 "
IMAGE:462655	AA705010		G1/S	" ESTs, Weakly similar to 1207289A reverse transcriptase related protein [H.sapiens] Hs.272135"		"G1/S  ESTs, Weakly similar to 1207289A reverse transcriptase related protein [H.sapiens] Hs.272135 AA705010 "
IMAGE:194656	R84407		G2/M	" ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754"		"G2/M  ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens] Hs.221754 R84407 "
IMAGE:1486028	AA912032		G2	" ESTs, Weakly similar to 2108276A ssDNA-binding protein [R.norvegicus] Hs.181059"		"G2  ESTs, Weakly similar to 2108276A ssDNA-binding protein [R.norvegicus] Hs.181059 AA912032 "
IMAGE:1034676	AA779865		G2/M	" ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.182545"		"G2/M  ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.182545 AA779865 "
IMAGE:841176	AA486607		G2/M	" ESTs, Weakly similar to ALU4_HUMAN ALU SUBFAMILY SB2 SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.28848"		"G2/M  ESTs, Weakly similar to ALU4_HUMAN ALU SUBFAMILY SB2 SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.28848 AA486607 "
IMAGE:295594	N72576		G1/S	" ESTs, Weakly similar to ALU8_HUMAN ALU SUBFAMILY SX SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.226414"		"G1/S  ESTs, Weakly similar to ALU8_HUMAN ALU SUBFAMILY SX SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens] Hs.226414 N72576 "
IMAGE:241282	H91219		G1/S	" ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.117949"		"G1/S  ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.117949 H91219 "
IMAGE:949944	AA600192		S phase	" ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.180552"		"S phase  ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.180552 AA600192 "
IMAGE:815255	AA481283		G1/S	" ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.180552"		"G1/S  ESTs, Weakly similar to ALUB_HUMAN !!!! ALU CLASS B WARNING ENTRY !!! [H.sapiens] Hs.180552 AA481283 "
IMAGE:1569394	AA973625		S phase	" ESTs, Weakly similar to CGHU6C collagen alpha 1(II) chain precursor [H.sapiens] Hs.127453"		"S phase  ESTs, Weakly similar to CGHU6C collagen alpha 1(II) chain precursor [H.sapiens] Hs.127453 AA973625 "
IMAGE:884364	AA629538		G2/M	" ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens] Hs.165909"		"G2/M  ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens] Hs.165909 AA629538 "
IMAGE:194305	H50656		M/G1	" ESTs, Weakly similar to I52523 nucleoporin p62 homolog - rat [R.norvegicus] Hs.120946"		"M/G1  ESTs, Weakly similar to I52523 nucleoporin p62 homolog - rat [R.norvegicus] Hs.120946 H50656 "
IMAGE:108425	T77758		G2/M	" ESTs, Weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin [H.sapiens] Hs.14139"		"G2/M  ESTs, Weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin [H.sapiens] Hs.14139 T77758 "
IMAGE:272262	N35592		G1/S	" ESTs, Weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin [H.sapiens] Hs.7913"		"G1/S  ESTs, Weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin [H.sapiens] Hs.7913 N35592 "
IMAGE:797042	AA463221		S phase	" ESTs, Weakly similar to KIAA1074 protein [H.sapiens] Hs.200483"		"S phase  ESTs, Weakly similar to KIAA1074 protein [H.sapiens] Hs.200483 AA463221 "
IMAGE:915908	AI732242		G1/S	" ESTs, Weakly similar to MUC2_HUMAN MUCIN 2 PRECURSOR [H.sapiens] Hs.214410"		"G1/S  ESTs, Weakly similar to MUC2_HUMAN MUCIN 2 PRECURSOR [H.sapiens] Hs.214410 AI732242 "
IMAGE:120162	T95274		G1/S	" ESTs, Weakly similar to MUC2_HUMAN MUCIN 2 PRECURSOR [H.sapiens] Hs.214410"		"G1/S  ESTs, Weakly similar to MUC2_HUMAN MUCIN 2 PRECURSOR [H.sapiens] Hs.214410 T95274 "
IMAGE:154477	R54855		G2/M	" ESTs, Weakly similar to NUCL_HUMAN NUCLEOLIN [H.sapiens] Hs.30120"		"G2/M  ESTs, Weakly similar to NUCL_HUMAN NUCLEOLIN [H.sapiens] Hs.30120 R54855 "
IMAGE:1623191	AA992658		S phase	" ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592"		"S phase  ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592 AA992658 "
IMAGE:229560	H67282		S phase	" ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592"		"S phase  ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens] Hs.265592 H67282 "
IMAGE:511901	AI732452		S phase	" ESTs, Weakly similar to phosphatidylserine-specific phospholipase A1 deltaC [H.sapiens] Hs.68864"		"S phase  ESTs, Weakly similar to phosphatidylserine-specific phospholipase A1 deltaC [H.sapiens] Hs.68864 AI732452 "
IMAGE:587388	AI732595		S phase	" ESTs, Weakly similar to phosphatidylserine-specific phospholipase A1 deltaC [H.sapiens] Hs.68864"		"S phase  ESTs, Weakly similar to phosphatidylserine-specific phospholipase A1 deltaC [H.sapiens] Hs.68864 AI732595 "
IMAGE:128202	R11498		G1/S	" ESTs, Weakly similar to putative p150 [H.sapiens] Hs.300070"		"G1/S  ESTs, Weakly similar to putative p150 [H.sapiens] Hs.300070 R11498 "
IMAGE:754379	AA436174		G1/S	" ESTs, Weakly similar to putative p150 [H.sapiens] Hs.37751"		"G1/S  ESTs, Weakly similar to putative p150 [H.sapiens] Hs.37751 AA436174 "
IMAGE:51218	H18472		G2	" ESTs, Weakly similar to T15936 hypothetical protein EGAP7.1 - Caenorhabditis elegans [C.elegans] Hs.15386"		"G2  ESTs, Weakly similar to T15936 hypothetical protein EGAP7.1 - Caenorhabditis elegans [C.elegans] Hs.15386 H18472 "
IMAGE:1881517	AI291262		G2/M	" ESTs, Weakly similar to T19201 hypothetical protein C11G6.3 - Caenorhabditis elegans [C.elegans] Hs.283127"		"G2/M  ESTs, Weakly similar to T19201 hypothetical protein C11G6.3 - Caenorhabditis elegans [C.elegans] Hs.283127 AI291262 "
IMAGE:190256	H29858		S phase	" ESTs, Weakly similar to T20262 hypothetical protein C55A6.2 - Caenorhabditis elegans [C.elegans] Hs.126639"		"S phase  ESTs, Weakly similar to T20262 hypothetical protein C55A6.2 - Caenorhabditis elegans [C.elegans] Hs.126639 H29858 "
IMAGE:289916	N59330		G2/M	" ESTs, Weakly similar to T23976 hypothetical protein R06F6.5a - Caenorhabditis elegans [C.elegans] Hs.180591"		"G2/M  ESTs, Weakly similar to T23976 hypothetical protein R06F6.5a - Caenorhabditis elegans [C.elegans] Hs.180591 N59330 "
IMAGE:41825	R54109		G2/M	" ESTs, Weakly similar to T29361 hypothetical protein R05G6.10 - Caenorhabditis elegans [C.elegans] Hs.26096"		"G2/M  ESTs, Weakly similar to T29361 hypothetical protein R05G6.10 - Caenorhabditis elegans [C.elegans] Hs.26096 R54109 "
IMAGE:1035796	AA628867		G2	" ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665"		"G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 AA628867 "
IMAGE:1856923	AI271431		G2	" ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665"		"G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 AI271431 "
IMAGE:131316	R22949		G2	" ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665"		"G2  ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans] Hs.339665 R22949 "
IMAGE:823609	AA496955		G1/S	" ESTs, Weakly similar to T45059 hypothetical protein Y39B6B.gg [imported] - Caenorhabditis elegans [C.elegans] Hs.43213"		"G1/S  ESTs, Weakly similar to T45059 hypothetical protein Y39B6B.gg [imported] - Caenorhabditis elegans [C.elegans] Hs.43213 AA496955 "
IMAGE:746217	AA417744		G2	" ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807"		"G2  ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807 AA417744 "
IMAGE:824913	AA489023		G2	" ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807"		"G2  ESTs, Weakly similar to unnamed protein product [H.sapiens] Hs.99807 AA489023 "
IMAGE:35147	R45550		S phase	" ESTs, Weakly similar to UOG1_HUMAN UOG-1 PROTEIN [H.sapiens] Hs.118338"		"S phase  ESTs, Weakly similar to UOG1_HUMAN UOG-1 PROTEIN [H.sapiens] Hs.118338 R45550 "
IMAGE:416049	W85843		S phase	" ESTs, Weakly similar to UOG1_HUMAN UOG-1 PROTEIN [H.sapiens] Hs.118338"		"S phase  ESTs, Weakly similar to UOG1_HUMAN UOG-1 PROTEIN [H.sapiens] Hs.118338 W85843 "
IMAGE:301867	N92478		G2	" ESTs, Weakly similar to zinc finger protein [H.sapiens] Hs.71243"		"G2  ESTs, Weakly similar to zinc finger protein [H.sapiens] Hs.71243 N92478 "
IMAGE:240109	H82421		G2	" Homo sapiens cDNA FLJ10632 fis, clone NT2RP2005637 Hs.202596"		"G2  Homo sapiens cDNA FLJ10632 fis, clone NT2RP2005637 Hs.202596 H82421 "
IMAGE:1468466	AA885096		G1/S	" Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501 Hs.127797"		"G1/S  Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501 Hs.127797 AA885096 "
IMAGE:512116	AA133590		G1/S	" Homo sapiens cDNA FLJ11417 fis, clone HEMBA1000960 Hs.348514"		"G1/S  Homo sapiens cDNA FLJ11417 fis, clone HEMBA1000960 Hs.348514 AA133590 "
IMAGE:898097	AA598803		G1/S	" Homo sapiens cDNA FLJ11643 fis, clone HEMBA1004366 Hs.111496"		"G1/S  Homo sapiens cDNA FLJ11643 fis, clone HEMBA1004366 Hs.111496 AA598803 "
IMAGE:784319	AA447098		M/G1	" Homo sapiens cDNA FLJ11904 fis, clone HEMBB1000048 Hs.285519"		"M/G1  Homo sapiens cDNA FLJ11904 fis, clone HEMBB1000048 Hs.285519 AA447098 "
